Iteration,Cost
0,0.8067318
1,0.7442318
2,0.3672754
3,0.07214288
4,0.05249999
5,0.3672754
6,0.115
7,0.115
8,0.4297754
9,0.7817318
10,0.7442318
11,0.4297754
12,0.1105357
13,0.3620671
14,0.1105357
15,0.0804762
16,0.3820076
17,0.7483985
18,0.8391684
19,0.7442318
20,0.3672754
21,0.115
22,0.3672754
23,0.4297754
24,0.115
25,0.1105357
26,0.4245671
27,0.1105357
28,0.4258692
29,0.8032596
30,0.7518707
31,0.7518707
32,0.785204
33,0.8967378
34,0.7997873
35,0.8998628
36,0.8032596
37,0.4258692
38,0.7407596
39,0.4297754
40,0.3672754
41,0.8067318
42,0.8067318
43,0.9061128
44,0.8067318
45,0.8436128
46,0.8067318
47,0.7442318
48,0.3672754
49,0.05249999
50,0.115
51,0.05249999
52,0.05249999
53,0.115
54,0.4297754
55,0.4297754
56,0.09000001
57,0.3633692
58,0.115
59,0.04803572
60,0.05249999
61,0.115
62,0.3672754
63,0.7442318
64,0.4297754
65,0.3672754
66,0.4297754
67,0.4297754
68,0.115
69,0.4297754
70,0.4297754
71,0.7442318
72,0.7442318
73,0.7442318
74,0.3672754
75,0.115
76,0.05249999
77,0.4366951
78,0.3820076
79,0.1340477
80,0.4643588
81,0.4122755
82,0.0804762
83,0.3672754
84,0.7442318
85,0.3672754
86,0.115
87,0.4297754
88,0.4297754
89,0.3672754
90,0.4122755
91,0.1340477
92,0.0804762
93,0.4643588
94,0.4297754
95,0.115
96,0.4297754
97,0.3672754
98,0.05249999
99,0.04803572
100,0.04357139
101,0.04089288
