Iteration,Cost
0,0.8646647
1,0.3934693
2,0
3,0.3934693
4,0.3934693
5,0.3934693
6,0.3934693
7,0
8,0.3934693
9,0
10,0.3934693
11,0
12,0.3934693
13,0.8646647
14,0.3934693
15,0.3934693
16,0.8646647
17,0.988891
18,0.988891
19,0.8646647
20,0.3934693
21,0.8646647
22,0.8646647
23,0.988891
24,0.988891
25,0.988891
26,0.988891
27,0.8646647
28,0.988891
29,0.988891
30,0.988891
31,0.8646647
32,0.8646647
33,0.8646647
34,0.3934693
35,0
36,0.3934693
37,0.8646647
38,0.8646647
39,0.3934693
40,0
41,0.3934693
42,0
43,0.3934693
44,0.3934693
45,0.8646647
46,0.988891
47,0.988891
48,0.8646647
49,0.3934693
50,0.3934693
51,0.3934693
52,0
53,0.3934693
54,0
55,0.3934693
56,0.3934693
57,0.3934693
58,0
59,0.3934693
60,0.3934693
61,0
62,0
63,0.3934693
64,0
65,0.3934693
66,0.3934693
67,0.3934693
68,0
69,0.3934693
70,0.3934693
71,0
72,0.3934693
73,0
74,0.3934693
75,0.3934693
76,0.3934693
77,0
78,0.3934693
79,0
80,0
81,0
82,0
83,0.3934693
84,0
85,0
86,0
87,0.3934693
88,0
89,0.3934693
90,0
91,0.3934693
92,0
